,Fed_Funds_Eff._Rate,3_Month_TBill,2Y_Treasury,5Y_Treasury,10Y_Treasury,30Y_Treasury,5Y_Forward Infl. Exp. Rate,30Y Mortgage,BofA High Yield Spread,Inflation
2018-11-30,2.2,2.32,2.8,2.84,3.01,3.3,2.17,4.75,4.29,1.9201892337003867
2018-12-01,2.2,2.32,2.8,2.84,3.01,3.3,2.17,4.75,4.29,1.9201892337003867
2018-12-02,2.2,2.32,2.8,2.84,3.01,3.3,2.17,4.75,4.29,1.4956517543753822
2018-12-03,2.19,2.34,2.83,2.83,2.98,3.27,2.16,4.75,4.2,1.4956517543753822
2018-12-04,2.2,2.38,2.8,2.79,2.91,3.16,2.14,4.75,4.29,1.4956517543753822
2018-12-05,2.2,2.38,2.8,2.79,2.91,3.16,2.14,4.75,4.29,1.4956517543753822
2018-12-06,2.2,2.36,2.75,2.75,2.87,3.14,2.11,4.75,4.5,1.4956517543753822
2018-12-07,2.19,2.35,2.72,2.7,2.85,3.14,2.1,4.75,4.5,1.4956517543753822
2018-12-08,2.19,2.35,2.72,2.7,2.85,3.14,2.1,4.75,4.5,1.4956517543753822
2018-12-09,2.19,2.35,2.72,2.7,2.85,3.14,2.1,4.75,4.5,1.4956517543753822
2018-12-10,2.2,2.37,2.72,2.71,2.85,3.13,2.07,4.75,4.56,1.4956517543753822
2018-12-11,2.19,2.37,2.78,2.75,2.89,3.13,2.04,4.75,4.48,1.4956517543753822
2018-12-12,2.19,2.39,2.77,2.77,2.91,3.15,2.04,4.75,4.4,1.4956517543753822
2018-12-13,2.19,2.38,2.75,2.75,2.91,3.16,2.04,4.63,4.39,1.4956517543753822
2018-12-14,2.19,2.37,2.73,2.73,2.89,3.14,2.04,4.63,4.46,1.4956517543753822
2018-12-15,2.19,2.37,2.73,2.73,2.89,3.14,2.04,4.63,4.46,1.4956517543753822
2018-12-16,2.19,2.37,2.73,2.73,2.89,3.14,2.04,4.63,4.46,1.4956517543753822
2018-12-17,2.2,2.36,2.7,2.69,2.86,3.11,2.04,4.63,4.58,1.4956517543753822
2018-12-18,2.2,2.34,2.65,2.65,2.82,3.07,2.04,4.63,4.72,1.4956517543753822
2018-12-19,2.2,2.35,2.63,2.62,2.77,3.0,2.04,4.63,4.84,1.4956517543753822
2018-12-20,2.4,2.34,2.67,2.65,2.79,3.02,1.99,4.62,5.11,1.4956517543753822
2018-12-21,2.4,2.34,2.63,2.64,2.79,3.03,1.99,4.62,5.22,1.4956517543753822
2018-12-22,2.4,2.34,2.63,2.64,2.79,3.03,1.99,4.62,5.22,1.4956517543753822
2018-12-23,2.4,2.34,2.63,2.64,2.79,3.03,1.99,4.62,5.22,1.4956517543753822
2018-12-24,2.4,2.41,2.55,2.58,2.74,3.0,1.98,4.62,5.35,1.4956517543753822
2018-12-25,2.4,2.41,2.55,2.58,2.74,3.0,1.98,4.62,5.35,1.4956517543753822
2018-12-26,2.4,2.39,2.61,2.67,2.81,3.06,1.97,4.62,5.37,1.4956517543753822
2018-12-27,2.4,2.36,2.56,2.6,2.77,3.05,1.95,4.55,5.38,1.4956517543753822
2018-12-28,2.4,2.35,2.52,2.56,2.72,3.04,1.94,4.55,5.3,1.4956517543753822
